日ID,日序,周次,阶段,Primary LQ,Secondary LQ,周次功能,核心生命问题,生命痛点,今日核心经文,P证据,L证据,J证据,NT-DIS原则,一句话主题,日类型,每日核心信息,今日反思入口,今日自我选择,今日实践,关系/伙伴反馈,使命连接,生命果子,证据等级,内容状态
W01D01,1,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,弗2：8-10,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,看见,先看见自己正在经历的“我的价值从哪里来？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我的价值从哪里来？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从自我证明转向忠心,A,待编写
W01D02,2,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,林后5：17,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,挖根,今天往里走一步：当“我的价值从哪里来？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从自我证明转向忠心,A,待编写
W01D03,3,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,弗2：8-10,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,回经文,回到弗2：8-10：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我的价值从哪里来？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用弗2：8-10安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从自我证明转向忠心,A,待编写
W01D04,4,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,路15,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,对照,把自己的旧习惯与新约的方向放在一起看：人的价值不能最终建立在表现和他人评价上，而是在基督里领受恩典，并从新身份出发生活。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不用靠表现证明自己，先领受恩典，再忠心活好今天。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从自我证明转向忠心,A,待编写
W01D05,5,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,约1：12-13,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,行动,把今天的回应缩小成一个可执行动作：少做一件为了证明自己的事，多做一件本来就该忠心做好的事。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：少做一件为了证明自己的事，多做一件本来就该忠心做好的事。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从自我证明转向忠心,A,待编写
W01D06,6,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,林后5：17,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴记录一次“放下证明、忠心行动”。,我最容易在哪些场景想证明自己？,把领受的恩典活成祝福,从自我证明转向忠心,A,待编写
W01D07,7,1,I 看见自己,LQ02,—,看见价值,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,弗2：8-10,林后5：17,路15,约1：12-13,领受→回应→实践,不用靠表现证明自己，先领受恩典，再忠心活好今天。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴记录一次“放下证明、忠心行动”。,把这一周的学习带进下一周，而不是停在课程结束。,从自我证明转向忠心,A,待编写
W02D01,1,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,路12：22-32,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,看见,先看见自己正在经历的“面对不确定和失控，我怎么生活？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“面对不确定和失控，我怎么生活？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,在不确定中仍然忠心,A,待编写
W02D02,2,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,罗8：18-28,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,挖根,今天往里走一步：当“面对不确定和失控，我怎么生活？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,在不确定中仍然忠心,A,待编写
W02D03,3,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,路12：22-32,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,回经文,回到路12：22-32：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“面对不确定和失控，我怎么生活？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用路12：22-32安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,在不确定中仍然忠心,A,待编写
