周次,阶段,周次功能,Primary LQ,Secondary LQ,核心生命问题,生命痛点,核心经文,P证据,L证据,J证据,NT-DIS原则,核心神学命题,一句话主题,生命形成动作,主日方向,7日跟随,本周实践,小组入口,伙伴反馈,生命果子,使命/传递,证据等级,校准状态
周次,阶段,周次功能,Primary LQ,Secondary LQ,核心生命问题,生命痛点,核心经文,P证据,L证据,J证据,NT-DIS原则,核心神学命题,一句话主题,生命形成动作,主日方向,7日跟随,本周实践,小组入口,伙伴反馈,生命果子,使命/传递,证据等级,校准状态
1,I 看见自己,看见价值,LQ02,—,我的价值从哪里来？,我常靠成绩、收入、能力或别人认可证明自己。,弗2：8-10,恩典→新身份→善行；林后5：17,接纳罪人并赐新身份：路15；路19：1-10,神的儿女与恩典中的生命：约1：12-13；约15：9-16,领受→回应→实践,人的价值不能最终建立在表现和他人评价上，而是在基督里领受恩典，并从新身份出发生活。,不用靠表现证明自己，先领受恩典，再忠心活好今天。,领受,主日从“证明自己”转向“领受恩典”,每天辨认一次“我正在证明什么”，以经文重新定位。,少做一件为了证明自己的事，多做一件本来就该忠心做好的事。,我最容易在哪些场景想证明自己？,伙伴记录一次“放下证明、忠心行动”。,从自我证明转向忠心,把领受的恩典活成祝福,A,◎
2,I 看见自己,承认有限,LQ04,—,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,路12：22-32,患难→盼望→忍耐；罗8：18-28,忧虑→天父知道→先求神国；路12：22-32,平安→信靠→永生盼望；约14：1-6,看见→放手→信靠,新约不是消除不确定，而是在不能掌控的现实中信靠神、盼望并忠心生活。,不能掌控明天，就忠心活好今天。,放手,主日帮助会众区分“我能负责的”与“我不能控制的”,每天把一件不可控的事交托，并完成一件今天能做的事。,列出一件不可控之事与一件可行动之事，分别交托与完成。,我最近最想控制什么？它真的属于我的责任吗？,伙伴问一句：“今天你把什么交托了？”,在不确定中仍然忠心,学习为别人提供稳定与盼望,A,◎
3,I 看见自己,重新定义成功,LQ03,—,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,腓3：7-14,算为有损→认识基督→向着标竿；林前1：26-31,舍己、财富与跟随：路9：23-25；路12：13-21,结果子、爱与跟随：约15：1-8,对照→重新定义→选择,新约没有取消工作与成就，而是重排生命价值秩序：认识基督、忠心跟随、服事与结果子。,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,重新定义,主日让会众比较两套“成功标准”,每天做一次选择：优先完成真正重要而非最能证明自己的事。,把本周最重要的一件事排到最前面，其他事情降级。,如果没有人知道，我还会把这件事当成功吗？,伙伴分享一次“重新排序”的具体决定。,从自我成功转向忠心跟随,让成功观影响家庭、工作和群体,A,◎
4,I 看见自己,脱离评价,LQ01,—,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,加1：10,人的称许 vs 基督的仆人；罗12：2,耶稣不按人的荣耀判断人：路14：7-11；路20,人的荣耀与从神来的荣耀：约5：44；约12：42-43,看见→辨认→重新定位,人的认可可以成为关系的一部分，却不能成为生命最终尺度。,不要让别人的评价替你决定怎样生活。,脱离评价,主日处理“讨人喜欢”背后的身份焦虑,记录一次被评价后的第一反应，再用经文重写判断。,一次重要决定不先问“别人怎么看”，先问“忠心是什么”。,我最怕谁不认可我？我在怕失去什么？,伙伴只反馈“你有没有忠心”，不评价结果。,从人的目光转向基督,在关系中给予别人真实而不控制的肯定,A,◎
5,I 看见自己,停止证明,LQ02,—,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,路12：13-21,知足与不以地上的事为终极；腓4：11-13,无知财主：路12：13-21,世界与其上的情欲不能持久：约一2：15-17,看见→辨认欲望→知足,拥有更多不能成为生命安全感与价值的终极保障。,拥有不能保证满足，学习知足与感恩。,停止证明,主日帮助辨认“永远还差一点”的生活逻辑,每天为已经领受的一件事感谢，并暂缓一次冲动性比较。,这一周不为升级、购买或展示而行动一次。,我所谓的“不够”，究竟缺的是东西，还是安全感？,伙伴每次只问：“今天你感谢了什么？”,从匮乏感转向感恩与知足,把资源从自我证明转向给予,A,◎
6,I 看见自己,分辨忙乱,LQ04,—,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,路10：38-42,明白主旨意、爱惜光阴：弗5：15-17,在许多事情上忧虑：路10：38-42,常在基督里结果子：约15：4-5,看见→分辨→取舍,门徒不是控制所有事情，而是学习在忙乱中分辨主所看重的事。,不是每件事都要抓住，先分辨今天真正重要的事。,交托,主日帮助分开“紧急”与“重要”,每天删掉或延后一件没有生命必要的事。,本周固定一段不被打扰的时间，做最重要的一件事。,哪些事情正在占据我的心，却不一定是我的托付？,伙伴检查一次“删掉了什么”。,从忙乱转向分辨,为家庭与群体保留真实的在场,B,○
7,I 看见自己,重新理解过去,LQ01,—,我的过去决定我是谁吗？,失败、家庭背景、旧标签常被带进今天。,林后5：17,在基督里成为新造；腓3：13-14,耶稣让过去被重新解释：路5：27-32；路19：1-10,从神生、成为神儿女：约1：12-13,看见→重新解释→前行,过去可以解释我的经历，却不能拥有我身份的最终定义权。,过去是我故事的一部分，但不是我最终的名字。,重新认识自己,主日区分“记住过去”与“被过去定义”,写下一件旧标签，并用新约身份语言重新命名自己。,停止用一个旧失败介绍自己一次。,哪些旧标签我还在不断重复？,伙伴不讨论细节，只提醒“在基督里你是谁”。,从旧标签转向新身份,用更新后的身份面对家人和朋友,A,◎
8,I 看见自己,停止比较,LQ03,—,为什么我总和别人比较？,别人过得更快、更成功、更被看见，我就开始否定自己。,加6：4-5,各人察验自己的行为；罗12：3,不按外表衡量人与自己：路18：9-14,人的荣耀与彼此荣耀：约5：44；12：42-43,看见→察验→停止比较,门徒学习按神所托付的衡量忠心，而不是用别人的人生替自己打分。,少拿别人的人生衡量自己，忠心走神交给你的路。,停止比较,主日让会众辨认比较触发点,一天内发现一次比较，立即把注意力转回自己的责任。,本周少看一次最容易触发比较的信息源，多做一件自己的责任。,比较之后，我通常会更忠心，还是更焦虑？,伙伴只问“你今天忠于什么？”,从比较转向忠心,不把比较转化成竞争，转化为彼此成全,A,◎
