week,sunday_theme,bila_theme,reference,practice,group_feedback,mission
1,耶稣是谁：道成肉身的主,从认识基督开始跟随,约1:1-18,让“主是谁”影响一个具体选择,与伙伴分享：今天怎样因认识基督而作出不同选择？,你今天如何让“主是谁”影响一个具体选择？
2,神国已经临到,福音不是信息而是神国的呼召,可1:14-20,向一个人分享耶稣的福音如何改变你,与伙伴分享：神国的呼召今天怎样进入生活？,本周向一个人分享：耶稣的福音如何改变你。
3,蒙召跟随,从拥有自己的计划转向跟随主,路5:1-11,放下一个妨碍顺服的安排,与伙伴分享：你正在放下什么、跟随什么？,放下一个妨碍顺服的安排，作一个具体回应。
4,成为门徒的道路,认基督与背十字架不可分开,路9:18-27,在一个代价真实存在的地方选择忠心,与伙伴分享：跟随基督对你意味着什么代价？,在一个代价真实存在的地方选择忠心。
5,以服事人的方式跟随,在神国里伟大意味着服事,可10:35-45,主动承担一件不被看见的服事,与伙伴分享：这周你如何学习作仆人？,主动承担一件不被看见的服事。
6,在祷告中跟随,门徒学习从父而来的生命,路11:1-13,建立一个固定的祷告时段，并为一人祷告,彼此分享祷告时间与代祷对象,建立一个固定的祷告时段，并为一人祷告。
7,怜悯与邻舍,爱邻舍进入真实处境,路10:25-37,主动靠近一个需要帮助的人,与伙伴分享：你本周靠近了谁？,本周主动靠近一个需要帮助的人。
8,听道并行道,门徒不是听众而是实行者,路6:46-49,把一个已经知道却尚未实行的真理付诸行动,与伙伴回顾：哪一个真理开始成为行动？,找出一个已经知道却尚未实行的真理并行动。
9,恩典中的新身份,因基督得称义并与神和好,罗5:1-11,在自我定罪或惧怕中以恩典回应,分享一个你正在学习接受恩典的地方,面对一个自我定罪或惧怕的地方，以恩典回应。
10,与基督联合,在基督里向罪死、向神活,罗6:1-14,辨认一个旧模式，用新生命作一次选择,与伙伴分享一个旧模式与新的选择,辨认一个旧模式，今天用新生命作一次选择。
11,圣灵里的新生活,靠圣灵而活，不再作奴仆,罗8:1-17,在压力场景中停下来寻求圣灵引导,分享一次寻求圣灵引导的经历,在一个压力场景中停下来寻求圣灵引导。
12,儿女与后嗣,身份先于事奉,罗8:14-17,用“神的儿女”身份面对恐惧或失败,彼此提醒：你的身份先于你的表现,用“神的儿女”身份面对一个恐惧或失败。
13,身体与献上,将身体献上成为活祭,罗12:1-8,把一个时间、能力或资源重新献给神,分享一个正在重新献上的领域,把一个时间、能力或资源重新献给神。
14,心意更新,福音塑造新的关系伦理,罗12:9-21,在困难关系中选择善胜恶,与伙伴分享一个关系中的具体操练,在一段困难关系中选择善胜恶。
15,彼此接纳,福音使不同的人成为一个身体,罗14:1-12,主动理解一个与你不同的弟兄姊妹,分享一次彼此理解的经历,主动理解一个与你不同的弟兄姊妹。
16,彼此担当,坚固软弱者而非讨自己喜悦,罗15:1-7,承担一个人的重担，而不是只表达意见,与伙伴分享：这周你实际承担了谁的重担？,本周承担一个人的重担，而不是只表达意见。
17,基督里的新创造,不再为自己活，并成为和好的使者,林后5:14-21,在关系冲突中迈出和好的一步,分享一次主动和好的经历,在一个关系冲突中迈出和好的一步。
18,软弱中的恩典,能力在人的软弱上显得完全,林后12:7-10,承认一个软弱，并允许群体进入真实生命,与伙伴诚实分享一个软弱并彼此代祷,承认一个软弱，并允许群体进入你的真实生命。
19,效法基督的心,以基督的心彼此相待,腓2:1-11,主动放下一个“必须赢”的位置,与伙伴分享：你在哪里学习放下自己？,主动放下一个“必须赢”的位置。
20,竭力向着标杆,把认识基督看为至宝,腓3:7-14,重新调整一个优先次序，使基督居首位,分享一个正在重新排序的优先次序,重新调整一个优先次序，使基督居首位。
21,一个身体,教会是基督的身体,林前12:12-27,发现一个人的恩赐并具体肯定他,与伙伴分享一个你所看见的恩赐,发现一个人的恩赐并具体肯定他。
22,爱的共同体,爱不是感觉而是群体生活的道路,林前13:1-13,在具体关系中实行一项爱的行动,分享一次具体的爱心行动,在一个具体关系中实行一项爱的行动。
23,彼此相顾,不可停止聚会，要彼此激发爱心,来10:19-25,主动联系一位容易被忽略的人,与伙伴一起为被忽略的人祷告,主动联系一位容易被忽略的人。
24,彼此认罪与代祷,群体成为医治与代祷的空间,雅5:13-20,与伙伴分享一个真实需要并彼此祷告,彼此认罪、代祷并守望,与伙伴分享一个真实需要，并彼此祷告。
25,彼此服事,各人按所得恩赐服事,彼前4:7-11,用你的一个实际恩赐服事群体,分享你的恩赐如何成为服事,用你的一个实际恩赐服事群体。
26,群体中的治理与秩序,属灵生命也需要忠心、合宜的治理,徒6:1-7,在一件混乱的事上主动建立清楚的秩序,与伙伴检视：秩序如何帮助群体成长？,在一件混乱的事上主动建立清楚的秩序。
27,同心合意,教会以使徒教训、团契、擘饼、祈祷生活,徒2:42-47,参与一次真实的团契，并分享神在你身上的工作,在小组中分享神正在你身上做什么,参与一次真实的团契，并分享神在你身上的工作。
28,圣灵降临与见证,圣灵赐能力使门徒成为见证人,徒1:8；2:1-21,在自己的“耶路撒冷”寻找一个见证机会,与伙伴辨认一个具体见证对象,在自己的“耶路撒冷”寻找一个见证机会。
29,从自己走向别人,见证从真实需要开始,徒3:1-10,关注一个人的实际需要，而不是只提供观点,分享一次从需要开始的关怀,关注一个人的实际需要，而不是只提供观点。
30,在逼迫中忠心,教会面对压力仍求放胆讲道,徒4:1-31,在需要勇气的场合坚持真理与爱,彼此分享面对压力时的需要并祷告,在一个需要勇气的场合坚持真理与爱。
31,福音跨越边界,圣灵带领门徒走向被忽略的人,徒8:26-40,主动接近一个与你背景不同的人,分享一次跨文化、跨背景的接触,主动接近一个与你背景不同的人。
32,神打破人的界限,神不偏待人，福音进入万族,徒10:1-48,辨认一个你心中的“边界”，作一次跨越,与伙伴讨论：哪些界限需要被福音重新定义？,辨认一个你心中的“边界”，作一次跨越。
33,差派与教会,圣灵在群体中呼召、差派,徒13:1-4,和伙伴讨论：神正在把你带向谁？,彼此分辨呼召与差派方向,和伙伴讨论：神正在把你带向谁？
34,建立门徒而非只做决定,传福音、坚固门徒、建立教会彼此相连,徒14:21-28,陪伴一个人迈出下一步,与伙伴分享一个你正在陪伴的人,陪伴一个人迈出下一步，而不是只邀请一次。
35,保罗的宣教动力,基督的福音推动宣教边界不断扩展,罗15:18-24,为一个尚未听见福音的群体祷告并寻找资料,与伙伴选择一个持续代祷的群体,为一个尚未听见福音的群体祷告并寻找资料。
36,成为众人的仆人,为福音的缘故进入人的处境,林前9:19-23,学习理解一个人的语言、文化或处境,分享一次进入他人处境的学习,学习理解一个人的语言、文化或处境。
37,道成肉身式的宣教,基督的降卑成为使命的样式,腓2:5-8,放下一个便利，进入他人的需要,与伙伴分享：本周你放下了什么便利？,放下一个便利，进入他人的需要。
38,在工作中作见证,日常工作成为见证场域,西3:22-4:6,在工作/学习中用诚信、恩慈和盼望作见证,分享一个工作或学习中的见证机会,在工作/学习中用诚信、恩慈和盼望作见证。
39,言语与生命一致,智慧地与外人交往,西4:2-6,预备一句自然、真实、符合福音的见证,彼此练习自然真实的见证表达,预备一句自然、真实、符合福音的见证。
40,家庭中的使命,福音更新最日常的关系,弗5:21-6:4,在家庭中主动实行一次舍己的爱,分享一次家庭中的舍己操练,在家庭中主动实行一次舍己的爱。
41,给下一代的信仰,信仰需要忠心传递,提后1:3-14,找一个比你年轻的人，分享一次属灵经验,彼此辨认可以传递给下一代的内容,找一个比你年轻的人，分享一次属灵经验。
42,把所听见的交托别人,门徒训练具有世代复制性,提后2:1-7,开始陪伴一位人，帮助他学习跟随主,与伙伴确认一位正在陪伴的人,开始陪伴一位人，帮助他学习跟随主。
43,忠心完成托付,使命不是短跑而是忠心到底,提后4:1-8,回顾一个托付，决定继续忠心的一步,彼此鼓励在托付上忠心到底,回顾一个托付，决定本周继续忠心的一步。
44,直到地极,福音继续向前，不被环境捆绑,徒28:16-31,为一个城市、民族或国家建立持续代祷,和伙伴建立一个持续代祷对象,为一个城市、民族或国家建立持续代祷。
45,住在基督里,结果子首先来自住在主里面,约15:1-17,建立一个帮助你持续住在基督里的节奏,分享你的灵修与住在基督里的节奏,建立一个能帮助你持续住在基督里的节奏。
46,彼此相爱,门徒的可见记号是彼此相爱,"约13:1-17,34-35",用一个具体行动让别人感受到基督的爱,分享一个具体爱的行动,用一个具体行动让别人感受到基督的爱。
47,成为见证人,所看见、所听见的要传给别人,约一1:1-4；3:16-18,向伙伴分享一个你真实经历神的故事,彼此聆听真实的见证故事,向伙伴分享一个你真实经历神的故事。
48,真理与爱同行,忠于真理并在爱中行走,约二4-11,在价值冲突中同时守住真理与爱,与伙伴讨论如何同时坚持真理与爱,在一个价值冲突中同时守住真理与爱。
49,忠心接待与合作,支持福音工人也是宣教参与,约三5-8,具体支持一位服事者或宣教伙伴,分享一个可以支持的服事或宣教需要,具体支持一位服事者或宣教伙伴。
50,为真道争辩,在真道上建造自己，也挽回人,犹20-23,在分歧中用温柔和真理帮助一个人,彼此代祷并学习在分歧中守住真理与爱,在分歧中用温柔和真理帮助一个人。
51,看见终末的盼望,神最终使万物更新,启21:1-5,让终末盼望改变你面对今天困难的方式,分享一个因盼望而改变的当下处境,让终末盼望改变你面对今天困难的方式。
52,继续跟随，继续使人作门徒,从一年同行进入持续的跟随与使命,太28:18-20；启22:12-21,回顾一年，辨认下一位你要陪伴成为门徒的人,与伙伴一起回顾一年并确认下一步,回顾一年，辨认下一位你要陪伴成为门徒的人。
